user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SRR8382454.bin.1.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__GCA-001735895;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__GCA-001735895;s__	ANI	N/A	GCA_009937625.1, s__GCA-001735895 sp009937625, 95.0, 77.98, 0.35; GCA_001735895.1, s__GCA-001735895 sp001735895, 95.0, 77.26, 0.26; GCA_003231795.1, s__GCA-001735895 sp003231795, 95.0, 76.95, 0.09; GCA_003645435.1, s__GCA-001735895 sp003645435, 95.0, 76.65, 0.06	72.17	11	0.9338102930592324	N/A
SRR8382454.bin.2.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	32.02	11	0.9325439997591513	N/A
SRR8382454.bin.3.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__QNFN01;f__QNFN01;g__QNFN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_009937385.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__QNFN01;f__QNFN01;g__QNFN01;s__QNFN01 sp009937385	88.11	0.92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__QNFN01;f__QNFN01;g__QNFN01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003645555.1, s__QNFN01 sp003645555, 95.0, 81.31, 0.64	64.42	11	0.9672584328843007	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR8382454.bin.4.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	N/A	N/A	N/A	N/A	N/A	GCA_009937605.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__UBA1847 sp009937605	77.67	0.31	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	taxonomic classification defined by topology and ANI	N/A	GCA_004282875.1, s__UBA1847 sp004282875, 95.0, 77.76, 0.33; GCA_013042375.1, s__UBA1847 sp013042375, 95.0, 77.7, 0.24; GCA_013001045.1, s__UBA1847 sp013001045, 95.0, 76.89, 0.13; GCA_009937445.1, s__UBA1847 sp009937445, 95.0, 76.8, 0.14; GCA_013043165.1, s__UBA1847 sp013043165, 95.0, 76.79, 0.19; GCA_002685275.1, s__UBA1847 sp002685275, 95.0, 76.74, 0.0; GCA_002338605.1, s__UBA1847 sp002338605, 95.0, 76.58, 0.11	58.67	11	0.9570808064634394	N/A
SRR8382454.bin.5.fa	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__1-14-0-10-47-16;s__	N/A	N/A	N/A	N/A	N/A	GCA_002773395.1	95.0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__1-14-0-10-47-16;s__1-14-0-10-47-16 sp002773395	74.81	0.01	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	53.42	11	0.8831206714523101	N/A
SRR8382457.bin.1.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	43.44	11	0.9584625072510398	N/A
SRR8382457.bin.5.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__	taxonomic classification defined by topology and ANI	N/A	GCA_001800975.1, s__Lutibacter sp001800975, 95.0, 84.71, 0.83; GCA_010906935.1, s__Lutibacter sp010906935, 95.0, 83.77, 0.79; GCA_002842505.1, s__Lutibacter sp002842505, 95.0, 83.68, 0.77; GCA_003516285.1, s__Lutibacter sp003516285, 95.0, 82.42, 0.79; GCA_004195315.1, s__Lutibacter sp004195315, 95.0, 78.54, 0.35; GCA_013139515.1, s__Lutibacter sp013139515, 95.0, 78.04, 0.38; GCF_003384935.1, s__Lutibacter oceani, 95.0, 78.02, 0.44; GCA_002733285.1, s__Lutibacter sp002733285, 95.0, 77.73, 0.35; GCF_012524075.1, s__Lutibacter sp012524075, 95.0, 77.73, 0.43; GCF_900116115.1, s__Lutibacter maritimus, 95.0, 77.71, 0.45; GCF_900188355.1, s__Lutibacter flavus, 95.0, 77.69, 0.44; GCF_001543325.1, s__Lutibacter profundi, 95.0, 77.63, 0.4; GCA_014646675.1, s__Lutibacter litoralis, 95.0, 77.63, 0.38; GCF_900188235.1, s__Lutibacter agarilyticus, 95.0, 77.42, 0.41; GCF_004121075.1, s__Lutibacter sp004121075, 95.0, 77.35, 0.43; GCA_013041805.1, s__Lutibacter sp013041805, 95.0, 77.32, 0.41; GCF_003260195.1, s__Lutibacter citreus, 95.0, 77.04, 0.35; GCA_002390165.1, s__Lutibacter sp002390165, 95.0, 77.0, 0.26; GCF_900106565.1, s__Lutibacter oricola, 95.0, 76.93, 0.28	43.42	11	0.982204745913069	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR8382458.bin.2.fa	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA5852;g__JABZFP01;s__	N/A	N/A	N/A	N/A	N/A	GCA_014237395.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA5852;g__JABZFP01;s__JABZFP01 sp014237395	92.11	0.86	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA5852;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	89.8	11	0.990050214822492	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR8382458.bin.4.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter changyiensis	GCF_009193265.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter changyiensis	98.93	0.96	GCF_009193265.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter changyiensis	98.93	0.96	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_005298175.1, s__Marinobacter sp005298175, 95.0, 78.93, 0.39; GCF_004792665.1, s__Marinobacter sp004792665, 95.0, 78.68, 0.34; GCF_011074955.1, s__Marinobacter sp011074955, 95.0, 78.57, 0.39; GCF_002744735.1, s__Marinobacter guineae, 95.0, 78.47, 0.35; GCF_003994855.1, s__Marinobacter sp003994855, 95.0, 78.42, 0.3; GCF_003441595.1, s__Marinobacter sp003441595, 95.0, 78.38, 0.35; GCF_008795955.1, s__Marinobacter sp008795955, 95.0, 78.37, 0.33; GCF_003344045.1, s__Marinobacter vulgaris, 95.0, 78.37, 0.35; GCF_011074795.1, s__Marinobacter salicampi, 95.0, 78.35, 0.3; GCF_001045555.1, s__Marinobacter subterrani, 95.0, 78.31, 0.33; GCA_014651935.1, s__Marinobacter zhanjiangensis, 95.0, 78.25, 0.28; GCF_000686085.1, s__Marinobacter sp000686085, 95.0, 78.2, 0.34; GCA_002707215.1, s__Marinobacter sp002707215, 95.0, 78.2, 0.19; GCF_000170835.1, s__Marinobacter algicola, 95.0, 78.17, 0.29; GCF_000166295.1, s__Marinobacter adhaerens, 96.6719, 78.13, 0.27; GCF_900114925.1, s__Marinobacter pelagius, 95.0, 78.06, 0.34; GCF_008107725.1, s__Marinobacter sp008107725, 95.0, 78.03, 0.31; GCF_000397065.2, s__Marinobacter lipolyticus, 95.0, 78.01, 0.3; GCA_002732725.1, s__Marinobacter sp002732725, 95.0, 78.0, 0.15; GCF_009617755.1, s__Marinobacter salsuginis, 95.0, 78.0, 0.3; GCF_005871205.1, s__Marinobacter sp005871205, 95.0, 78.0, 0.29; GCF_001650915.1, s__Marinobacter sp001650915, 95.0, 78.0, 0.33; GCF_001854125.1, s__Marinobacter salinus, 95.0, 77.97, 0.27; GCF_002744715.1, s__Marinobacter profundi, 95.0, 77.96, 0.31; GCF_002933275.1, s__Marinobacter sp002933275, 95.0, 77.95, 0.32; GCF_002933295.1, s__Marinobacter flavimaris, 96.6719, 77.94, 0.29; GCF_000235625.1, s__Marinobacter manganoxydans_A, 96.5877, 77.93, 0.3; GCF_000934705.1, s__Marinobacter excellens, 95.0, 77.89, 0.24; GCA_002726615.1, s__Marinobacter sp002726615, 95.0, 77.88, 0.21; GCF_900115175.1, s__Marinobacter gudaonensis, 95.0, 77.88, 0.29; GCF_002934325.1, s__Marinobacter persicus_A, 95.0, 77.86, 0.22; GCF_003007715.1, s__Marinobacter shengliensis, 95.0, 77.84, 0.27; GCF_008795985.1, s__Marinobacter halotolerans, 95.0, 77.83, 0.28; GCF_001447155.2, s__Marinobacter sp001447155, 95.0, 77.81, 0.27; GCA_003030785.1, s__Marinobacter sp003030785, 95.0, 77.81, 0.22; GCF_003007675.1, s__Marinobacter fuscus, 95.0, 77.81, 0.24; GCF_900188315.1, s__Marinobacter sp900188315, 95.8497, 77.78, 0.29; GCF_000372805.1, s__Marinobacter gelidimuriae, 95.0, 77.78, 0.15; GCF_003007685.1, s__Marinobacter halophilus, 95.0, 77.78, 0.28; GCF_002258215.1, s__Marinobacter vinifirmus, 95.0, 77.77, 0.29; GCF_003315345.1, s__Marinobacter pelagius_A, 95.0, 77.76, 0.32; GCF_014201735.1, s__Marinobacter oulmenensis, 95.0, 77.75, 0.24; GCF_900106945.1, s__Marinobacter mobilis, 95.0, 77.74, 0.23; GCF_000421165.1, s__Marinobacter daepoensis, 95.0, 77.73, 0.21; GCF_900188435.1, s__Marinobacter sp900188435, 95.0, 77.71, 0.28; GCF_000284615.1, s__Marinobacter hydrocarbonoclasticus, 95.0, 77.7, 0.27; GCF_000830985.1, s__Marinobacter similis, 95.0, 77.69, 0.31; GCF_000347775.1, s__Marinobacter santoriniensis, 95.0, 77.66, 0.25; GCF_000831005.1, s__Marinobacter salarius, 95.0, 77.65, 0.29; GCA_014359475.1, s__Marinobacter sp014359475, 95.0, 77.64, 0.25; GCF_900115285.1, s__Marinobacter daqiaonensis, 95.0, 77.62, 0.24; GCF_900114775.1, s__Marinobacter zhejiangensis, 95.0, 77.6, 0.24; GCF_004785685.1, s__Marinobacter confluentis, 95.0, 77.58, 0.32; GCF_002563885.1, s__Marinobacter sp002563885, 95.0, 77.58, 0.18; GCF_000708045.1, s__Marinobacter nitratireducens, 95.0, 77.56, 0.22; GCF_002407605.1, s__Marinobacter sp002407605, 95.0, 77.56, 0.18; GCF_900142385.1, s__Marinobacter antarcticus, 95.0, 77.56, 0.24; GCF_900114155.1, s__Marinobacter persicus, 95.0, 77.55, 0.25; GCF_001981305.1, s__Marinobacter lutaoensis, 95.0, 77.53, 0.26; GCF_004353225.1, s__Marinobacter sp004353225, 95.0, 77.52, 0.15; GCF_007671675.1, s__Marinobacter maritimus, 95.0, 77.52, 0.2; GCF_001752365.1, s__Marinobacter sp001752365, 95.0, 77.51, 0.2; GCF_900215155.1, s__Marinobacter sp900215155, 95.0, 77.51, 0.22; GCF_007671655.1, s__Marinobacter piscensis, 95.0, 77.48, 0.16; GCF_008370345.1, s__Marinobacter sp008370345, 95.0, 77.48, 0.22; GCA_011049865.1, s__Marinobacter antarcticus_A, 95.0, 77.47, 0.2; GCF_900111555.1, s__Marinobacter segnicrescens, 95.0, 77.47, 0.22; GCF_001858325.1, s__Marinobacter sp001858325, 95.0, 77.43, 0.19; GCF_002806945.1, s__Marinobacter salexigens, 95.0, 77.39, 0.19; GCF_003336705.1, s__Marinobacter litoralis, 95.0, 77.38, 0.18; GCF_002806975.1, s__Marinobacter aromaticivorans, 95.0, 77.34, 0.23; GCF_000169375.1, s__Marinobacter sp000169375, 95.0, 77.34, 0.19; GCF_003318275.1, s__Marinobacter sp003318275, 95.0, 77.3, 0.17; GCF_001043175.1, s__Marinobacter psychrophilus, 95.0, 76.99, 0.18; GCA_013393545.1, s__Marinobacter sp013393545, 95.0, 76.64, 0.15	74.69	11	N/A	N/A
SRR8382458.bin.7.fa	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	33.23	11	0.794682090270739	N/A
